 ___________________________________________________________________________________________________________________________________________________________________ 
|Код       |Наименование                  |Адрес                                                       |Расчетный                                                   |
|получателя|получателя                    |получателя                                                  |счет                                                        |
|...................................................................................................................................................................|
|       116|           Кобрин ПТФ-профком.|                                  г.Кобрин ул.Советская,139.|                    3012200050012 в АКБ Приорбаке г.Кобрина.|
|       117|         г.Кобрин,Дом культуры|                                     г. Кобрин, ул. Ленина 4|                     301 223 005 0011 в ПРИОРбанке г.Кобрина|
|       118|                г.Кобрин, ТЗПК|                                                    г.Кобрин|                             301 220 115 0016 в АПБ г.Кобрин|
|       119|         Береза  рыбхоз"Селец"|                                  д.Морможево  рыбхоз"Селец"|                               3012200410012 в АКБ г.Береза.|
|       120|г.КобринООО"Стройбизнесцентр" |                          г.Кобрин,ул.Дзержинского 68/3 кв 2|                                    301 200 049 0495 в БиВЭБ|
|       121|г.Кобрин Хлебоприемное предпр.|                                   г. Кобрин, ул. Ленина  87|                           301 220 058 0023 в АКБ г. Кобрина|
|       122|         г.Кобрин МП "КОНТАКТ"|                             Г. Кобрин,ул.Дзержинского 76/24|                301 223 045 0015 в РКЦ Приорбанка г. Кобрина|
|       123|       Кобрин Рынковская школа|                                    Кобринский р-он д. Рынки|                         303 300 000 0443 в АСБ Беларусбанке|
|       124|                   Кобрин,РЦГЭ|                                         Кобрин,пл Свободы 8|                             303 200 000 0659 в Беларусбанке|
|       125|              г.Кобрин ДРСУ-46|                                   г.Кобрин,ул.Советская,139|                            301 200 068 0015 в ПСБ г.Кобрина|
|       126|            Кобрин ч/л Романюк|                              г.Кобрин ул.Пролетарская 125/3|                                                            |
|       127|  г.Кобрин Отд.здравоохранения|                                                   г. Кобрин|                       303 300 237 1473 в АСБ "Беларусьбанк"|
|       128|      г.Кобрин Медвытрезвитель|                                  г.Кобрин,ул.17 Сентября-11|                            303 320 045 0015 в АПБ г.Кобрина|
|       129|                  г.Кобрин ПМС|                                  г.Кобрин пер.Островлянский|                               3012200740023 в АПБ г.Кобрина|
|       130|          г.Кобрин,ГП "ДИЗАЙН"|                                 г.Кобрин, пер.Островлянский|                           301 220 164 0018 в АПБ г. Кобрина|
|       131|    г.Кобрин ОАО"Сельхозхимия"|                                г.Кобрин ул.Пролетарская 169|                                2120201720036 в АПБ г.Кобрин|
|       132|       г.Кобрин школа-интернат|                    г.Кобрин ул.Советская,123 школа-интернат|                               3720200380007 в АПБ г.Кобрина|
|       133| г.Кобрин  Сельский строит.к-т|    г.Кобрин ул.Никольская,58 Сельский строительный комбинат|                               3012200600017 в АПБ г.Кобрина|
|       134|             д.Лука, АФ "Союз"|                                       Кобринский р-н,д.Лука|                       301 200 164 0014 в ф-ле АО Белкомбанк|
|       135|                 СОРОКИНА Л.А.|                            г. Кобрин, ул.м.Жукова 4"А" кв 6|                                                            |
|       136|     Пружаны  ГТП "ВОЕНСЕРВИС"|                                     г. Пружаны,ул.Ширмы  30|                          301 220 091 0019 в АПБ г. Пружаны |
|       137|       Кобрин,ч/п Комяжко З.А.|                           Г.Кобрин,ул. Советская 117/1 кв81|                     свидетельство N 027028/46 от 22.10.96г.|
|       138|         Кобр.р-н к-з 1-ое Мая|                                Кобринский р-н к-з 1-ое Мая |                               3012200870052 в АПБ г.Кобрина|
|       139|        Кобрин к-з"Кобринский"|                                              Кобринский р-н|                                               3012200790057|
|       140|                 Кобрин Роддом|                                   г.Кобрин ул.Советская 132|                  3730002110025 в АСБ Беларусбанка г.Кобрина|
|       141|               Новоселки Школа|                                Кобринский р-н Средняя школа|                                                            |
|       142|                 Кобрин ГП ПМС|                                г.Кобрин пер.Островлянский 5|                       3012200740023 в АПБ г.Кобрина код.406|
|       143|         Кобрин ООО"Константа"|                                 Кобринский р-н д.Островляны|                       3012001440184 в АО Белкомбанк код.756|
|       144|               Кобрин СТК АСТТ|                                                    г.Кобрин|                                         3015202830013 в АПБ|
|       145|           Кобрин ООО "Леонид"|                               г.Кобрин ул.Первомайская 92/1|                             3012001470213 в АО БКБ г.Кобрин|
|       146|                    Кобрин ТМО|                                   г.Кобрин ул.Советская 131|                                                            |
