 ___________________________________________________________________________________________________________________________________________________________________ 
|Код       |Наименование                  |Адрес                                                       |Расчетный                                                   |
|получателя|получателя                    |получателя                                                  |счет                                                        |
|...................................................................................................................................................................|
|       495|        г.Молодечно ООО "Блюз"|                               г.Молодечно ул.В.Гостинец 143|                     3012003820011 в БПСБ г.олодечно код.346|
|       496|       г.Минск ООО "СЭМсервис"|                                     г.Минск,ул.Русиянова,15|                  301 220 649 0010 в АК БББ г.Минска код 112|
|       497|         г.Минск ООО "Элпрекс"|                                  г.Минск,ул.В.Хоружей 19-94|                       301 200 488 0012 в АК Бел.ПСБ код 339|
|       498|            Минск  ООО"ШИВАПТ"|                                    г.Минск ул.Урожайная 9/1|                         3012260220017 в АКБ Приорбанк Минск|
|       499|              Минск  ООО"КАРО"|                                        г.Минск ул.Пушкина 8|               301 220 192 0002 в АКБ Промстройбанк г.Минска|
|       500|                 г.Витебск КШТ|                           210002 г.Витебск ул.М.Горького,62|                     3012000290012 в Первом АК ББ г.Витебска|
|       501|г.Витебс ф-ка"Красный Октябрь"|                                      г.Витебск,пр.Людникова|                                                   000321703|
|       502|               г.Воропаево ДОК|                          211830, г.Воропаево,ул.Заводская,1|                                   000366301 в АПБ г.Поставы|
|       503|    Витебск ААТ"ВИТЕБСКМЕБЕЛЬ"|                          210004, г.Витебск,ул.Ак.Павлова,48|           000467843 в Первом.отд.Акц.Ком.ПСБ. МФО 150801314|
|       504|        Полоцк к-т ВПО "ТРУД".|                                      г.Полоцк,ул,Зыгина,51.|                         3012203430017 в АКБ Белбизнесбанка.|
|       505|    Полоцк ф-ка худож.изделий,|                                    г.Полоцк ул.Гагарина,11.|                              3012200230018 в БББ г.Полоцка.|
|       506|    Верхнедвинск АО ФХИ "Мила"|                             г. Верхнедвинск ул.Советская 13|                     301 220 104 0010 в АПБ г. Верхнедвинска|
|       507|г.Витебск АО Торг. дом "ДВИНА"|                          210024,г.Витебск,ул.Ак.Павлова,6-а|                       3012203310012 в БББ по Витебской обл.|
|       508|        г.Городок Птицефабрика|                                                   г.Городок|                              3012200450014 в БАПБ г.Городок|
|       509|г.Витебск ООО"Марко           |                              210601 г.Витебск ул,Правды,25.|                  3012200510011 в АКБ "Приорбанк" г.Витебск.|
|       510| г.ВитебскАО"Витебские ковры" |                          210647 г.Витебск ул.М.Горького,75.|                  3012201120015 в Управлении БББ г.Витебска.|
|       511|           г.Витебск ОАО "КИМ"|                                  г.Витебск,ул.М.Горького,42|             3012201130018 в правлении БББ по Витебской обл.|
|       512|г.Новополоцк Рем.-строи. пред.|                           211440г.Новополоцк,ул.Молодежная,|                       3012008090013 в АК ПСБ г.Новополоцка.|
|       513|     Витебск ТПФ "Техносервис"|                                    г.Витебск, ул.Правды,48.|       3012200150019  в "Приорбанк" г.Витебска, ФО 150801723|
|       514|       г.Витебск КФ "АВТОГРАФ"|                     г.Витебск,пр. генерала Белобородова,1/2|                  301 220 358 0015 в ОУБББ по Витебской обл.|
|       515|       г.Орша к-нат ВПО" ТРУД"|                                г. Орша  Музейный переулок 1|                         301 220 024 0016 в АКБ БББ г.ОРШИ  |
|       516|         г.Витебск ООО "ИРВИТ"|                       г. Витебск г. Витебск ул Гончарная 15|                             301 220 096 0012 в акб "Поиск" |
|       517|               Витебск "Алена"|                             г.Витебск ул.Черняховского 25/1|             3012200030011 в ф-ле 6 АСБ Технобанк г.Витебска|
|       518|         Витебск ПККП "Тетрис"|                               г.Витебск ул.Правды 18 каб.28|                      3012003320023 в ф-ле 5 Белгазпромбанка|
|       519|г.Витебск Ф-ка нетк.материалов|                                г. Витебск , ул. Гагарина 56|                          301 220 112 0015 в УПР БББ МФО 701|
|       520|      г.Витебск АП "Чаровница"|                                      г.Витебск,ул.Бровки,20|                   301 220 384 0011 в Жел.отд. БББ МФО 706  |
|       521|     Витебск ч/п Юшковский А С|                            г.Витебск ул.Молодежная 7 кв 102|                   3013103710014 в Упр БББ по Витебской обл.|
|       522|          г.Дубровно Льнозавод|                                  г.Дубровно,пер.Заводской-1|                      301 220 021 0018 в Бел. АПБ г.Дубровно|
|       523|       г.Витебск МП НПП "Мара"|                              г.Витебск ул.Горького 36/25/33|                          3012230180013 в РКЦ БББ г.Витебска|
|       524|           г.Витебск ООО "ИСА"|                                     г.Витебск ул.Замковая 4|                              3012200540021 в АПБ г.Витебска|
|       525|     г.Новополоцк ПКФ "РЕФЕОТ"|                              г.Новополоцк,ул.Промышленная,6|   301 200 373 0018 в ф-ле 214 АСБ Беларусбанк г.Новополоцк |
|       526|            г.Орша ПЭП "Рубин"|                                         г.Орша,ул.Минская,7|                              301 220 217 0012 в БББ МФО 708|
|       527|   г.Новополоцк ООО "Виторжье"|                            г.Новополоцк, ул.Техническая 6-а|                      301 200 607 0011 в АК ПСБ г.Новополоцк|
|       528|     г.Новополоцк ММП "ЭВРИКА"|                  Витебская обл. г.Новополоц,ул. Парковая 18|                       301 200 380 0011 в АКПСБ г.Новополоцк|
|       529|          г.Новополоцк УЖ15/10|                               г.Новополоцк,ул.Техническая,8|                         301 200 004 0018 в Новополоцком ПСБ|
|       530|   г.Витебск ф-л ПТО "Витьбич"|                                   г.Витебск ул.Димитрова 37|                     3012203910013 в Жел.отд. ППБ г.Витебска|
|       531|            Витебск ПКФ "Слан"|                                г.Витебск ул.Космонавтов 10А|           3012203900010 в железн.отд.БББ г.Витебска код.706|
|       532|           г. Витебск ЭОП ВГТУ|                               г. Витебск п-кт Московский 72|                      3620000000218 в ф-ле АСБ "Беларусбанк"|
|       533|    г.Новополоцк МП"СУДАРУШКА"|                                г.Новополоцк, ул.Парковая 30|                        301 200 394 0014 в ПСБ г.Новополоцка|
|       534|              г.Витебск "ГОРН"|                                 г.Витебск,ул.Фрунзе 80-8-46|                     301 200 000 2583 ВФ N 201 "Беларусбанк"|
|       535|              Витебск ПКФ"КИС"|                                      г.Витебск ул.Правды 18|                    3012205840014 в упр БББ по Втебской обл.|
|       536|    Верхнедвинск ППУ АО"Верус"|                              г.Верхнедвинск ул.Советская 52|                   3012000010457 в ф-ле 206 АСБ Беларусбанка|
|       537|         Витебск НПП "Солитон"|                                г.Витебск ,ул.Фрунзе 22/4-32|       301 220 345 0015 в упр.БББ по Витебской обл., код 701|
|       538|                 Глубокое ОРТО|                            г.Глубокое ул.Железнодщрожная 22|                             3012100110016 в ФАКБ Белкомбанк|
|       539|        Орша "Беларусь Сервис"|                                   г.Орша ул.Могилевская 106|                               3012006120011 в АО ПСБ г.Орша|
|       540|        Витебск ПРТ "Единство"|                                      г.Витебск ул.Гоголя 17|                                   3012200640015 в АКБ "БББ"|
|       541|          Поставы консервн.з-д|                                   г.Поставы ул.Крупской 34А|                              3012201120018 в АПБ г.Поставы |
|       542|         Новополоцк ООО"Виток"|                              г.Новополоцк ул.Промышленная 5|                                   3012202200019 в Приорбанк|
|       543|             Витебск ч/п Балаш|                                г.Витебск ул.Володарского 67|                   30131000770010 в БББ жел. отд. г.Витебска|
|       544|           Витебск ПО "Витекс"|                               г.Витебск ул.Володпрского 100|                              3012201520019 в Белбизнесбанке|
|       545|    Витебская обл. ООО"Модерн"|                 Витебская обл., пос. Андреевщина, з-д ЖБИ-1|                          3012003710017 АКПСБ г.Орша код 304|
|       546|           "ОАО" ЗИ шв.фабрика|                                    г.Витебск ул.Гагарина-11|                               3012000000305 АСБ Беларусбанк|
|       600|     г.Могилев ПО "ХИМВОЛОКНО"|                                           212035, г.Могилев|                3012000060010 в Октябрском отд.ПСБ г.Могилев|
|       601|    г.Бобруйск  Белшинкомбинат|                            213824 г.Бобруйск,Минское шоссе,|            301 220 011 0014 в Заречном отд. АПБ г.Бобруйска|
|       602|   г.Могилев Ф-ка худ.изделий |                                      г.Могилев, ул.К.Маркса|                 000366803 в  опер.упр.Жилсоц. г.Могилева   |
|       603|       г.Могилев АП "СОПОТЕКС"|                                     г.Могилев,ул.Гришина,87|             р/с 010331705 в Комбанке соцразвития "Могобанк"|
|       604|    г.Бобруйск ОБУВНАЯ ФАБРИКА|                          213800, г.Бобруйск. ул.Парковая,57|                                 000321002 в БББ г.Бобруйска|
|       605|  г.Бобруйск Фабрика худ. изд.|                           213800, г.Бобруйск, ул.Гоголя,44а|                         366901 в АКБ "БЕЛАРУСЬ" г.Бобруйска|
|       606|      г.Бобруйск ЗАО "Вирсаль"|                          213823,г.Бобруйск,ул.Бахарова,311 |                    301 220 470 0018 в Белбизнесбанк код 721|
|       607|    г.Бобруйск Меховая фабрика|                           213823,г.Бобруйск,ул.Бахарова,206|                         321206 в Белбизнесбанке г.Бобруйска|
|       608|         Бобруйск Кож.комбинат|                                  г.Бобруйск ул.Минская 142А|                              3012202180018 в БББ г.Бобруйск|
|       609|          г.Могилев АО "Лента"|                                 г. Могилев ул.Челюскинцев65|                      3012202870014 в АКБ Приорбанка код.729|
|       610|        г.Бобруйск АО "Фандок"|                                    г.Бобруйск, ул.Ленина,95|                 3012000000393  в АКБ "Беларусь" г.Бобруйск.|
|       611|            "Бобруйсктрикотаж"|                              г.Бобруйск, ул.Первомайская,40|                         301 200 000 0872 в АСБ Беларусбанка|
|       612|   Осиповичи з-д Автоогрегатов|            г.Осиповичи ул.Проектируемая,1 з-д Автоогрегатов|            3012200010014 в Осиповичском отдел.Агропромбанка|
|       613|г.МогилевФ-ка индп.и рем.обуви|                                г.Могилев, ул.Челюскинцев,76|                3012205020012 в Упр.Белбизнесбанка г.Могилев|
|       614|г.МогилевАрендн.пр-е"Моготекс"|                                  г.Могилев, ул.Гришина,87; |               301 220 090 0010 в упр.БББ по Могилевской обл|
|       615|          Могилев ООО "Подиум"|                                   г.Могилев ул.Ленинская 85|         3012000002103 в ф-ле 716 АСБ Беларусбанк г.Могилева|
|       616|г.Кричев З-д резиновых изделий|                               213500,г.Кричев,ул.Трудовая,1|                  3012200300015 в Белагропромбанке г.Кричев |
|       617|     Могилев,ч/п КАНДАКОВ А.Н.|                                Могилев, ул. Непокоренных 78|              301 320 299 0015 в ф-ле АКП "Поиск" г.Могилева|
|       618|      г.Могилев Ч/п ЛИСОВ В.А.|                               г. Могилев,ул. Пушкина 19/172|   301 320 237 0017 в Приднепровском отд. Бел.АПБ г.Могилева|
|       619|           г.Бобруйск ГП Триор|                          213800,г.Бобруйск,ул.Менжинского,6|                   3012200980018 в Белбизнесбанке г.Бобруйск|
|       620|         г.Могилев ОАО "Обувь"|                                 г.Могилев ул.Якубовского 20|                      301 220 237 0013 в Упр. БББ г.Могилева|
|       621|г.БобруйсК-т неткан.материалов|                                  г.Бобруйск,ул.Тимирязева,5|                   3012000690014 в АКПСБ г.Бобруйска МФО 329|
|       622|      г.Могилев Элект.мех. з-д|                                      г.Могилев ст.Луполова |                          3012000490015 в УАК ПСБ г.Могилева|
|       623|            Могилев ООО"Троль"|                                 г.Могилев,ул.Орловского,78.|                 3012003960018 в УАК ПСБ по Могилевской обл.|
|       624|                г.Кировск РКБО|                      Могилёвская обл.г.Кировск,ул.Кирова,63|                         3012200590028 в Кировском отделении|
|       625|г.Могилев АОЗТ" СПЕЦОСНАСТКА "|                                   г. Могилев ул. Калинина 4|                          301 220 434 0012  в Упрвалении БББ|
|       626| г.МогиЗАО"БЕЛВНЕШАВТОТЕХСНАБ"|                               г. МОГИЛЕВ ул. Якубовского 26|    301 220 567 0019 в Приорбанке АО РБ по Могилевской обл. |
|       627|        г Могилев  ПКФ "ГриСа"|                                 г.Могилев ул.Челюскинцев-39|                            3012110161013 в БВЭБ  г.Могилева|
|       628|         г.Могилев "АДЛ-ДНЕПР"|                                 г.Могилев,ул.Челюскинцев,45|             301 230 000 0033 в АКБ "Белкоопбанк" г.Могилева|
|       629|        г.Могилев ООО "СЕРВИС"|                                г. Могилев ул.Якубовского 26|                301 220 210 0016 в АК Приорбанка г. Могилева|
|       631|  г.Могилев,база"Текстильторг"|                                   г.Могилев,ул.Калужская,31|                  301 200 323 0017 в Ленинском отд.АКПСБ 305|
|       632|       г.Могилев ООО "СИНТЕКС"|                                    Г.Могилев,ул.Гагарина 52|     301 200 047 0019 в УПР.АКПСБ по Могилевской обл код.355|
|       633|         Могилев ООО "Планета"|                                г.Могилев ул.Лепешинского 12|                   3012209040010 в ГФ "Приорбанк" г.Могилева|
|       634|                Могилевресурсы|                           г.Могилев пер.Коммунистический,10|                            3012205130016 Упр. БББ г.Могилев|
|       700|ГомельАП Гомельстройматериалы |                                   г.Гомель,ул.Могилевская,1|                                000581301 ЖДОГК ПСБ г.Гомель|
|       701|         Гомель ПО"Гомельдрев"|                                  г.Гомель,ул.Достоевского,3|                                000301702 в Упр.ПСБ г.Гомеля|
|       702|       г.Гомель ПО "КОМИНТЕРН"|                             Г.Гомель ул.Интернациональная,5|                         000321801 в центр. отд.ПСБ г.Гомеля|
|       703|г.Рогачев К-т строй материалов|                                  г.Рогачев, ул.Санникова,25|                             р/с 000609430 в АПБ г. Рогачева|
|       704|                 г.Мозырь МПМО|                                    г.Мозырь,ул.Советская,21|                          301 200 039 0015 в АК ПСБ г.Мозыря|
|       705|         Гомель ПО"Гомсельмаш"|                           426018, г.Гомель, ул.Шоссейная,41|                             000267913 в ЖДО АК ПСБ г.Гомеля|
|       706|       Гомель АШО"ГОМЕЛЬЧАНКА"|                                      г.Гомель,ул.Ильича,287|              000366208 в Белбизнесбанке по Гомельской обл. |
|       707|           г.Гомель ПКФ "Шанс"|                                 г.Гомель, ул.Советская,21-а|                          301 220 235 0011 в АКБ "Приорбанк"|
|       708|   г.Гомель Учреждение УЖ-15/4|                                     г.Гомель,ул.Антошкина,3|                 000341003 в Упр.Белбизнесбанка по Гом.обл. |
|       709|  г.Гомель Меб.ф-ка "ПРОГРЕСС"|                                    г.Гомель,ул.Лещинская,49|                      000302206 в Управлении АК ПСБ г.Гомеля|
|       710|          Жлобин, ПТО "БелФА".|                        247210 г.Жлобин,ул.Красный Проезд,2.|                    301 200 016 0010 в Бел.АК ПСБ г.Жлобина.|
|       711|           г.Мозырь "Славянка"|                                     г.Мозырь ул.Крупская 12|                                  3012200640010 БББ г.Мозыря|
|       712|                г.Гомель УПТК |                       246025,г.Гомель,ул.6-я Иногородняя,54|                 2120200450026 в Ново-Белиц.Бел.АПБ г.Гомеля|
|       713|              Гомель ООО"Лавр"|                                246000г.Гомель,район  Белица|                       3012003620011 в правлении БЕЛ. АКПСБ.|
|       714|КП Тереховский к-т строй.матер|                    Добрушский р-н,ГП Тереховка,ул.Ленина,1.|                              3012200510014 в АПБ г.Добруша.|
|       715|     г.Гомель З-д хим. изделий|                              г. Гомель, ул.2ая Орудийная 15|       301 220 163 0014  в Управлении БББ по Гомельской обл.|
|       716|       г.Гомель ПТФ 8-ое Марта|                                    г.Гомель ул.Советская 41|                   3012200250013 в цертр.отд.КБ БББ г.Гомеля|
|       717|     Речица НГДУ "Речицанефть"|                                       г.Речица ул.Ленина 43|                               3522000300027 в БПСБ г.Речицы|
|       718|       г.Речица МПП "ПРАЛЕСКА"|                         247500, г.Речица,ул.Пролетарская,55|                              3012000390013 в АКПСБ г.Речица|
|       719|          г.Гомель Жиркомбинат|                                 246021,г.Гомель,ул.Ильича,4|                3012000002420 в ПСБ "Беларусбанк" филиал 321|
|       720|   Мозырь ф-ка худож. изделий.|                             247760 г.Мозырь,ул.Ленинская,25|             3012000005608 в Мозырском отд.АСБ Беларусьбанк.|
|       721|                 г.Рогачев КБО|                               247250,г.Рогачев, ул.Кирова,9|                 3012000380015 в АК БПСБ г.Рогачева, МФО 938|
|       722|            г.Калинковичи АКБО|                                  г.Калинковичи,ул.Фрунзе,27|                           3012200970014 в АПБ г.Калинковичи|
|       723| г.Мозырь З-д кормовых дрожжей|                         Гомельская обл.,г.Мозырь,Михалки,11|                             3012000360016 в АК ПСБ г.Мозыря|
|       724|          г.Гомель  КПП"МАРИЯ"|                                   г.Гомель ул. Советская 46|                   301 220 348 0011 в центральном отд. АКБББ|
|       725| г.Петриков СПТУ N 1 Швейников|            247941,Гомельская обл.,г.Петриков,ул.Макаренко,5|                     303 120 169 0017 в Бел. АПБ г.Петрикова|
|       726|         Мозыырь Мозырьсельбуд|                              247760 г.Мозырь ул.Пушкина,32.|                           301 220 015 0015 в АПБ г.  Мозыря|
|       727|    г.Гомель ч/п Геворгян А.В.|                               г.Гомель,ул.Багдановича 12/75|                                 301 300 365 0012 ЖЛО АК ПСБ|
|       728|                 г.Гомель УПТК|                                                 г. ГОМЕЛЬ  |             212 020 045 0026  Н-Белицкое отд БАПБ г. Гомеля|
|       729|          г.Жлобин МП "ВЕРАСК"|                                   г.ЖЛОБИН микрорайон 1 д.3|                                    301 200 066 0015в АК ПСБ|
|       730|       Гомель ТПП "Инструмент"|                                 г.Гомель,ул.Барыкина-269.  |               301 220 092 0011 в.ЦО Белбизнесбанка г.Гомеля|
|       731|    г.Гомель ГП"Гомельхимторг"|                                      г. Гомель, пос.Урицкое|                3012006040018 в упр.АК БПСБ г.Гомель код.360|
|       732|       Светлогорск ООО"АСПЕКТ"|                               г.Светлогорск ул.Советская 1а|                    301 200 014 0015 в АП ПСБ г.Светлогорск.|
|       733|   г.Светлогорск ПО Химволокно|                                г.Светлогорск ул.Заводская 5|                       3012000730018 в Светлогорском отд.ПСБ|
|       734|                Гомель ПКФ АСС|                                  г.Гомель ул.Советская 27 А|               3012000910011 в Советском отд.КБ ПСБ г.Гомеля|
|       736|Мозырь,УТК"Белорусский сувенир|                                   г. Мозырь,ул.Ленинская 30|                          301 200 001 1780 в АСБ Беларусбанк|
|       737|г.Гомель Упр.быт.обсл.населен.|                                       г.Гомель,ул.Кирова,11|     301 220 339 0017 в Упр.АК БББ по Гом.обл. МФО 151501768|
|       739|            г.Жлобин ПКФ "Дар"|                                       г.Жлобин Микрорайон 1|                       3012200980015 в БББ г.Жлобина код.766|
|       740|       г.Добруш Фарфоровый з-д|                                        г.Добруш ул.Лесная 8|            3012000008629 в ф-ле 309 АСБ Беларусбанк код.670|
|       741|г.Добруш,ООО "Добр-Киров-Серв"|                                      г.Добруш,ул.Пушкина,11|          301 220 054 0013 в БелАКБ г.Добруш код 151 501 935|
|       742|г.Речица, ПТО "Красный Октябрь|                                    г.Речица, ул.Наумова,131|                          301 200 040 0017 в АК ПСБ г.Речица|
|       743|   г.Гомель ГП "Гомельхимторг"|   г.Гомель ул.Обьездная дорога пос.Урицкое ГП Гомельхимторг|                         2120006010031 в Упр.АК ПСБ г.Гомеля|
|       744|          г.Гомель,ГПОО "Труд"|                                   г.Гомель,ул.Советская 39 |                        301 220 024 0010 в центр.отд.АКБ БББ|
|       745|             Жлобин МПП "Мара"|                                     г.Жлобин ул,Ковалева 29|                           3012200340017 в АКБ БББ г.Жлобина|
|       746|                 Рогачев ДСУ-1|                                    г.Рогачев пос.Западный 1|                                      3012200930011 в АК АПБ|
|       747|      г.Гомель ОООПКФ Бело-Мар|                                    г.Гомель ул.Карбышева 12|                                               3012121200876|
|       800|       г.Йошкар-Ола АО "ИСКОЖ"|                                  г.Йошкар-Ола,ул.Крылова,45|                        40702810602000000135 ВТБ "Марийский"|
|       801| Красноярск, АО"ТИМ-Холдинг". |                 660074г.Красноярск,ул.Киренского,14 к.406. |              468030 в Белбизнесбанке г.Минска ф-ма "Заужды"|
|       802|            гКиров з-д ИСК.КОЖ|                                610601,г.Киров,ул.К.Маркса,4|                                  6467312 в Акционерном КСБ |
|       803|     г.Богородск АООТ "ОКАНИТ"|         606110,г.Богородск,Нижегородской обл.,ул.Ленина,101|                 р/с 01467722 Комерческий банк "Богородский"|
|       804|               Уфа АО "УЗЭМИК"|             450006, Башкортостан, г.Уфа, ул.Пархоменко, 156|                        р/с 2467939 Советский филиал АКБ БПБ|
|       805|   г.Нефтекамск АО НПО "ИСКОЖ"|     452950, Башкортостан, г.Нефтекамск, ул.Магистральная, 2|       001467151 в АКБ Башпромбанк в ГРКЦ Нац.банка.РБ гУфа.|
|       806|                  КОРОЛЕВ ТХЗ |                                       г.КОРОЛЕВ ул.Фрунзе,1|                        701 332 в Калининградском  ф-ле МКБ.|
|       807|                 Ярославль РТИ|                     150036,г.Ярославль,ул.Спартаковская,1а.|                     40702810600000004024 в ЯСКБ г.Ярославля|
|       808|          г.Москва ТОО "ТАИСС"|                              г.Москва,ул.Лобачевского,66"А"|                        р/с 161706 в  РКЦ ГУ ЦБ РФ по Москве|
|       809| г.Саранск з-д "РЕЗИНОТЕХНИКА"|                                       г.Саранск,пром.зона 2|                            609032 в КБ Мордовпромстройбанке|
|       810|           г.Москва ТОО "СеАл"|                                    г.Москва,пр.Энтузиастов,|                                  644812 в Машбанке г.Москвы|
|       811|         г.Пермь з-д им.Кирова|                             614113,г.Пермь,ул.Гольперина,11|                             000263402 в Кировском  Комбанке|
|       812|        г.Ярцево АО"МЕТАЛЛИСТ"|                             215810,г.Ярцево,ул.Ленинская,14|                          467004 в ф-ле Элексбанке  г.Ярцево|
|       813|   Псковская обл. ТОО "ВОСХОД"|       181110 Псковская обл. п.Струги Красные,ул.Курортная,1|                510 890 605 МФО 045 805 602 Псковский СБ РФ |
|       814|г.АлександровООО "Стрелецкое "|                 г. АЛЕКСАНДРОВ, ул.Стрелецкая Набережная 1 |                  000 026 545 0004 в АКБ СБС г. Александрова|
|       815|   г.Москва Фирма "Интерполюс"|                                       г.Москва, ул.Хоба,134|                                    782341 в КБ ЭСКАДО РКЦ-1|
|       816|     г.Пушкино АО"Мамонтовка".|                        141200 г.Пушкино,Кудринское шоссе,6.|                   467213 в Акционерном Муниципальном банке.|
|       817|             Москва НПФ"АВИКС"|                                            г.Москва а/я 101|                   146 7449 в Русаковском отд. МББ г. Москвы|
|       818|  г.Новосибирск ОАО"СИБТЕКМАШ"|                           Новосибирск  ул. Станционная 60/1|                600467152 в НСКБ Левобережный г.Новосибирска|
|       819|        Москва ТОО"Текс-цкнтр"|                                г.Москва ул.Тимура Фрунзе 11|40702810138100100106 в Хамовническом ОСБ 7812/1259 Моск банк|
|       820|                  Кострома РЭМ|                                                  г.Кострома|                                                            |
|       821|Псков АО ЗТ"Псковагропромснаб"|                                     Псков ,ул.Пожиговская 5|          1467314 в Псковском регион.филиале Россельхозбанке|
|       822|Санкт-ПетербургАОЗТ"Экотех-93"|                           г.Санкт-Петербург ул.Стойкости 30|     40700467321 в Балт.филиале АО "Банк"г.Санкт-Петербург  |
|       823|Москва ПО "ИСКОЖ"им.В.П.Ногина|                                    г.Москва, ул.Витебская,9|                                                            |
|       824|   Москва АО"Московский шёлк."|                                  г.Москва,пер.Савинский,12.|                                3467031 в Ленинском отд.МББ.|
|       825|   Санкт-Петербург НПКФ "АТЕС"|           193029 г.Санкт-Петербург,пр.Обуховской Обороны,86|                        12001467885 в Невском филиале АО ПСБ|
|       826|          г.Москва АОЗТ  ТЕФЕР|                                   Москва ул.Б.Почтовая 26 В|                         000 909 905 0004 в АКБ СБС г.Москва|
|       827| Санкт-Петербург АООТ"ИКОФЛОК"|                   196084 г.Санкт-Петербург,ул.Цветочная,25.|     16700467685 в Московском ф-ле АО"Банк" Санкт Петербург.|
|       828|г.Иваново Ткацко-отделочн.ф-ка|                                    г.Иваново пр-т Ленина 21|                                                            |
|       829|          Челябинск з-д "Урал"|                                                 г.Челябинск|                                                            |
|       830|     г.Тверь ОАО"Искож- Тверь"|                              г. Тверь ул.Индустриальная  16|                  346 7462  Тверьуниверсал банк МФО  131010 |
|       831|        г.Челябинск АО"РОССИ" |                               г. Челябинск, пр. Ленина  2а |                146 7594 в Трактозаводском ф-ле  Челинвбанка|
|       832|Белгородский абр.з-д          |                        г.Белгород ,  Михайловское шоссе 2а.|                  467863 в Свердловском ф-ле Промстройбанка.|
|       833|    Ленинград опыт.абраз.з-д  |                     г.Санкт-Петербург,ул.Белоостровская,17.|               18400467635 в Петроградском ф-ле АО "ПСБ"Спб.|
|       834|         Котовск, АООП"ИСКОЖ".|           393170г.Котовск,Тамбовская обл.ул.Октябрьская 1а.|          000467454 в Комерческом банке "Котовсккредитбанк".|
|       836|     Москва  АОЗТ"Интерроском"|                                      г.Москва,ул.Минская,4.|                              806467836 в АКБ Кредит-Москва.|
|       837|Москва Научн.пр.объед."КОМТЕК"|                               г.Москва ул. Гродненская  5 А|                                                            |
|       838|     Чебоксары АО"Текстильмаш"|                         г.Чебоксары пр.Машиностроителей 1  |                  40702810700000000836 в Чув КПБ г.Чебоксары|
|       839|СамараАОЗТ"Самарский трикотаж"|                                      г.Самара ул.Рабочая 15|                 2467316 в отд.6987 СБРФ Ленинградского р-на|
|       840|         Москва ООО"ГРАНД ЭПЛ"|                                г. Москва, ул.Бахрушина 25/1|               906 070 205 в КБ Кредит Импэксбанк г. Москва |
|       841| г.Калининград, ТОО"БАЛТОБУВЬ"|                            г.Калининград,обл. ул,Гайдара-6.|                                   5467354 в Эмбакенигбанке,|
|       842|  г.Москва ТОО ф-ма"Алконост".|                            121096 г.Москва,ул.Строителей,3.|       467427 в Донском ОСБ 7813/0522;р/с164819 ОПЕРУ МБСБРФ|
|       843|        г.Челябинск ТОО "СТЕН"|                                г.Челябинск,ул.Калинина,74/3|                     324761 в Челябинском ф-ле Промстройбанк|
|       845|               Уфа  трик.ф-ка"|                                      г.Уфа ул.Менделеева 21|                           323804 в Кировском отд.СИВБ г.Уфы|
|       846|         Москва ООО"Текстпром"|                           г.Москва ул.Снайперская 96 корп.3|              40702810100000001779 "Русский славянский банк"|
|       847|   Санкт-Петербург ООО"Спектр"|                  191180г.Санкт-Петербург,Линейный просп.41.|                                46700164 в АКБ"Таврический".|
|       848| г.Чайковск АОЗТ ТЕКСТИЛЬ-СОЮЗ|                 617740,Пермская обл, г.Чайковск, пос.Заря-5|                  002467634 в Чайковском ф-ле Мос.Бизнесбанк|
|       850|       ТОО "Ногинский з-д РТИ"|                             г.Ногинск 1-ый Кардолетный пер.|                        4467970 в Ногинском ф-ле Уникомбанка|
|       851|      Москва Ф-а "ВОЛБРОК ЛТД"|                                г. МОСКВА ул. Фестивальная 7|                         646 76 72 в енинградском ф-ле МИНБа|
|       852|          ВАЛААМСКИЙ Монастырь|                  Спасо-Преображенский Валаамский монастырь |                                                            |
|       853| Москва ЗАО "САВВА КЕМИКАЛ ТМ"|                                г.Москва,ул.Энергетическая,6|                                 146 7163 в МБТ и С г.Москва|
|       854|      МОСКВА ЗАО НПП"АРТЕФАКТ"|                          115551 г.Москва ,Каширское ш.92-3.|                     181467029 в ф-ле КП"Российский кредит".|
|       855|             ТОСНО ТОО"ВЕРСИЯ"|                                 г.Тосно,ул.Октябрьская,125.|                                   004467394 в КАБ "Викинг".|
|       856|             Москва ООО"Темп".|                           192230 г.Москва,ул.Вешних вод,14.|           467050 в ф-ле "Тушинский" КВ "Российский кредит".|
|       857|Санкт-ПМех.ф-ка АО"Валентина".|                        199048 г.С.Петербург 5/7 мех.ф-ка 1.|                                                            |
|       858|     Иваново АО"ИВАНОВО ИСКОЖ"|                                      г.Иваново, ул.Окуловой|                                    000 467 915 в КБ "Акция"|
|       859|        г.Челябинск АООТ "ЧАЗ"|                            454081,г.Челябинск,Промзона ЧЭМК|  467 067 в Челябинском ф-ле АКБ ЛескоБанк ГРКЦ г.Челябинска|
|       860|         Москва ООО"Полматик."|                      113184 г.Москва ул.Большая Ордынка-59.|                      467951 в Москворецком Отделении банка.|
|       861|      г.Москва, АОЗТ "ТРИНИТИ"|                        г.Москва,ул.4-я Тверская-Ямская, 139|                40702818802000000004 в ФАБ"Капитал" г.Москва|
|       862|г.Владикавказ,ООО"Стройэнерго"|                             г.Владикавказ,ул.Ардонская-176,|     407 028 101 000 000 000 91 в Адомонбанке г.Владикавказа|
|       863|     С-Петербург ТОО "ДИСПЕРС"|                    г.С.-Петербург,пр.Обуховской Обороны,86 |                044030791 в ОАО Промстройбанк г.С.-Петербург|
